repository,created_at,updated_at,stars,primary_language,merged_pull_requests,total_releases,total_issues,closed_issues,closed_ratio
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,2026-08-20T23:03:13Z,541609,Markdown,157,0,950,677,0.7126
sindresorhus/awesome,2014-07-11T13:42:37Z,2026-08-20T23:02:30Z,498228,,701,0,368,352,0.9565
public-apis/public-apis,2016-03-20T23:49:42Z,2026-08-20T23:04:43Z,467166,Python,2153,0,940,910,0.9681
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2026-08-20T23:03:58Z,454370,TypeScript,29136,0,22080,21916,0.9926
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2026-08-20T22:53:28Z,394867,Python,7424,0,1293,1255,0.9706
openclaw/openclaw,2025-11-24T10:16:47Z,2026-08-20T22:59:52Z,386910,TypeScript,26663,234,47744,44214,0.9261
donnemartin/system-design-primer,2017-02-26T16:15:28Z,2026-08-20T22:57:26Z,365112,Python,210,0,402,127,0.3159
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,2026-08-20T22:58:03Z,365012,TypeScript,4400,1,3185,3185,1.0
jwasham/coding-interview-university,2016-06-06T02:34:12Z,2026-08-20T23:03:39Z,359348,,415,0,536,455,0.8489
vinta/awesome-python,2014-06-27T21:00:06Z,2026-08-20T23:04:24Z,315148,Python,741,0,0,0,0
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,2026-08-20T23:02:16Z,313961,,0,1,0,0,0
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,2026-08-20T23:04:29Z,280129,Python,194,0,240,88,0.3667
996icu/996.ICU,2019-03-26T07:31:14Z,2026-08-20T21:40:09Z,276730,,1072,0,0,0,0
obra/superpowers,2025-10-09T19:45:18Z,2026-08-20T23:03:12Z,274909,Shell,167,12,857,755,0.881
react/react,2013-05-24T16:15:54Z,2026-08-20T22:36:01Z,247447,JavaScript,13035,132,14624,13801,0.9437
torvalds/linux,2011-09-04T22:48:12Z,2026-08-20T22:39:59Z,243440,C,0,0,0,0,0
affaan-m/ECC,2026-01-18T00:51:51Z,2026-08-20T23:03:07Z,241439,JavaScript,998,15,711,667,0.9381
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2026-08-20T23:02:05Z,239422,,122,0,0,0,0
NousResearch/hermes-agent,2025-07-22T22:22:28Z,2026-08-20T23:00:55Z,233527,Python,11403,28,22888,11388,0.4976
mattpocock/skills,2026-02-03T11:15:53Z,2026-08-20T23:04:12Z,226331,Shell,94,7,680,311,0.4574
TheAlgorithms/Python,2016-07-16T09:44:01Z,2026-08-20T22:37:37Z,223901,Python,3088,0,1749,1606,0.9182
vuejs/vue,2013-07-29T03:24:51Z,2026-08-20T21:45:30Z,210249,TypeScript,1136,249,10034,9670,0.9637
ossu/computer-science,2014-05-04T00:18:39Z,2026-08-20T22:49:07Z,208253,HTML,315,0,675,658,0.9748
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,2026-08-20T23:03:48Z,204371,,12,0,0,0,0
n8n-io/n8n,2019-06-22T09:24:21Z,2026-08-20T22:44:32Z,201372,TypeScript,20277,770,10057,9712,0.9657
anomalyco/opencode,2025-04-30T20:08:00Z,2026-08-20T23:04:04Z,199539,TypeScript,7411,861,24227,20238,0.8353
tensorflow/tensorflow,2015-11-07T01:19:20Z,2026-08-20T22:05:55Z,197108,C++,48928,222,41701,40941,0.9818
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,2026-08-20T22:04:32Z,196522,JavaScript,309,0,373,238,0.6381
ultraworkers/claw-code,2026-03-31T08:58:08Z,2026-08-20T22:35:56Z,195087,Rust,143,0,2211,2195,0.9928
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,2026-08-20T23:05:04Z,194550,Markdown,0,0,0,0,0
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,2026-08-20T22:38:25Z,189269,Shell,3655,0,5079,4925,0.9697
microsoft/vscode,2015-09-03T20:23:38Z,2026-08-20T22:54:31Z,188992,TypeScript,52240,234,251302,233726,0.9301
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,2026-08-20T23:03:47Z,187728,Batchfile,7,31,1075,1067,0.9926
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,2026-08-20T21:34:24Z,186687,Python,4783,117,3936,3650,0.9273
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,2026-08-20T22:59:27Z,185877,Python,3418,136,11940,9969,0.8349
CyC2018/CS-Notes,2018-02-13T14:56:24Z,2026-08-20T20:09:02Z,185521,,374,0,579,449,0.7755
