repository,created_at,age_years,rq01_valor_ausente,rq01_outlier,merged_pull_requests,rq02_valor_ausente,rq02_outlier
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,8.28,False,False,157,False,False
sindresorhus/awesome,2014-07-11T13:42:37Z,12.11,False,False,701,False,False
public-apis/public-apis,2016-03-20T23:49:42Z,10.42,False,False,2153,False,False
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,11.66,False,False,29136,False,True
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,12.86,False,False,7424,False,False
openclaw/openclaw,2025-11-24T10:16:47Z,0.74,False,False,26663,False,True
donnemartin/system-design-primer,2017-02-26T16:15:28Z,9.48,False,False,210,False,False
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,9.43,False,False,4400,False,False
jwasham/coding-interview-university,2016-06-06T02:34:12Z,10.2,False,False,415,False,False
vinta/awesome-python,2014-06-27T21:00:06Z,12.15,False,False,741,False,False
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,11.22,False,False,0,False,False
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,9.36,False,False,194,False,False
996icu/996.ICU,2019-03-26T07:31:14Z,7.4,False,False,1072,False,False
obra/superpowers,2025-10-09T19:45:18Z,0.86,False,False,167,False,False
react/react,2013-05-24T16:15:54Z,13.24,False,False,13035,False,True
torvalds/linux,2011-09-04T22:48:12Z,14.96,False,False,0,False,False
affaan-m/ECC,2026-01-18T00:51:51Z,0.59,False,False,998,False,False
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,8.16,False,False,122,False,False
NousResearch/hermes-agent,2025-07-22T22:22:28Z,1.08,False,False,11403,False,True
mattpocock/skills,2026-02-03T11:15:53Z,0.54,False,False,94,False,False
TheAlgorithms/Python,2016-07-16T09:44:01Z,10.09,False,False,3088,False,False
vuejs/vue,2013-07-29T03:24:51Z,13.06,False,False,1136,False,False
ossu/computer-science,2014-05-04T00:18:39Z,12.3,False,False,315,False,False
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,0.56,False,False,12,False,False
n8n-io/n8n,2019-06-22T09:24:21Z,7.16,False,False,20277,False,True
anomalyco/opencode,2025-04-30T20:08:00Z,1.31,False,False,7411,False,False
