repository,total_releases,rq03_valor_ausente,rq03_outlier,updated_at,days_since_update,rq04_valor_ausente,rq04_outlier
codecrafters-io/build-your-own-x,0,False,False,2026-08-20T23:03:13Z,0,False,False
sindresorhus/awesome,0,False,False,2026-08-20T23:02:30Z,0,False,False
public-apis/public-apis,0,False,False,2026-08-20T23:04:43Z,0,False,False
freeCodeCamp/freeCodeCamp,0,False,False,2026-08-20T23:03:58Z,0,False,False
EbookFoundation/free-programming-books,0,False,False,2026-08-20T22:53:28Z,0,False,False
openclaw/openclaw,234,False,False,2026-08-20T22:59:52Z,0,False,False
donnemartin/system-design-primer,0,False,False,2026-08-20T22:57:26Z,0,False,False
nilbuild/developer-roadmap,1,False,False,2026-08-20T22:58:03Z,0,False,False
jwasham/coding-interview-university,0,False,False,2026-08-20T23:03:39Z,0,False,False
vinta/awesome-python,0,False,False,2026-08-20T23:04:24Z,0,False,False
awesome-selfhosted/awesome-selfhosted,1,False,False,2026-08-20T23:02:16Z,0,False,False
practical-tutorials/project-based-learning,0,False,False,2026-08-20T23:04:29Z,0,False,False
996icu/996.ICU,0,False,False,2026-08-20T21:40:09Z,0,False,False
obra/superpowers,12,False,False,2026-08-20T23:03:12Z,0,False,False
react/react,132,False,False,2026-08-20T22:36:01Z,0,False,False
torvalds/linux,0,False,False,2026-08-20T22:39:59Z,0,False,False
affaan-m/ECC,15,False,False,2026-08-20T23:03:07Z,0,False,False
trimstray/the-book-of-secret-knowledge,0,False,False,2026-08-20T23:02:05Z,0,False,False
NousResearch/hermes-agent,28,False,False,2026-08-20T23:00:55Z,0,False,False
mattpocock/skills,7,False,False,2026-08-20T23:04:12Z,0,False,False
TheAlgorithms/Python,0,False,False,2026-08-20T22:37:37Z,0,False,False
vuejs/vue,249,False,False,2026-08-20T21:45:30Z,0,False,False
ossu/computer-science,0,False,False,2026-08-20T22:49:07Z,0,False,False
multica-ai/andrej-karpathy-skills,0,False,False,2026-08-20T23:03:48Z,0,False,False
n8n-io/n8n,770,False,True,2026-08-20T22:44:32Z,0,False,False
anomalyco/opencode,861,False,True,2026-08-20T23:04:04Z,0,False,False
