repository,primary_language,rq05_valor_ausente,rq05_linguagem_popular,total_issues,closed_issues,closed_ratio,rq06_valor_ausente,rq06_inconsistente,rq06_outlier
codecrafters-io/build-your-own-x,Markdown,False,False,950,677,0.7126,False,False,False
sindresorhus/awesome,,True,False,368,352,0.9565,False,False,False
public-apis/public-apis,Python,False,True,940,910,0.9681,False,False,False
freeCodeCamp/freeCodeCamp,TypeScript,False,False,22080,21916,0.9926,False,False,False
EbookFoundation/free-programming-books,Python,False,True,1293,1255,0.9706,False,False,False
openclaw/openclaw,TypeScript,False,False,47744,44214,0.9261,False,False,False
donnemartin/system-design-primer,Python,False,True,402,127,0.3159,False,False,False
nilbuild/developer-roadmap,TypeScript,False,False,3185,3185,1.0,False,False,False
jwasham/coding-interview-university,,True,False,536,455,0.8489,False,False,False
vinta/awesome-python,Python,False,True,0,0,0,False,False,True
awesome-selfhosted/awesome-selfhosted,,True,False,0,0,0,False,False,True
practical-tutorials/project-based-learning,Python,False,True,240,88,0.3667,False,False,False
996icu/996.ICU,,True,False,0,0,0,False,False,True
obra/superpowers,Shell,False,False,857,755,0.881,False,False,False
react/react,JavaScript,False,True,14624,13801,0.9437,False,False,False
torvalds/linux,C,False,True,0,0,0,False,False,True
affaan-m/ECC,JavaScript,False,True,711,667,0.9381,False,False,False
trimstray/the-book-of-secret-knowledge,,True,False,0,0,0,False,False,True
NousResearch/hermes-agent,Python,False,True,22888,11388,0.4976,False,False,False
mattpocock/skills,Shell,False,False,680,311,0.4574,False,False,False
TheAlgorithms/Python,Python,False,True,1749,1606,0.9182,False,False,False
vuejs/vue,TypeScript,False,False,10034,9670,0.9637,False,False,False
ossu/computer-science,HTML,False,False,675,658,0.9748,False,False,False
multica-ai/andrej-karpathy-skills,,True,False,0,0,0,False,False,True
n8n-io/n8n,TypeScript,False,False,10057,9712,0.9657,False,False,False
anomalyco/opencode,TypeScript,False,False,24227,20238,0.8353,False,False,False
tensorflow/tensorflow,C++,False,True,41701,40941,0.9818,False,False,False
trekhleb/javascript-algorithms,JavaScript,False,True,373,238,0.6381,False,False,False
ultraworkers/claw-code,Rust,False,False,2211,2195,0.9928,False,False,False
DigitalPlatDev/FreeDomain,Markdown,False,False,0,0,0,False,False,True
ohmyzsh/ohmyzsh,Shell,False,False,5079,4925,0.9697,False,False,False
microsoft/vscode,TypeScript,False,False,251302,233726,0.9301,False,False,False
