tipo,repositorio,numero,titulo,status,responsaveis,url
Issue,Lab_Experimentacao_Software,21,Lab02_Sprint01 - Exportar snapshot do Project,Done,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/21
Issue,Lab_Experimentacao_Software,20,Lab02_Sprint01 - Implementar coleta de métricas estáticas,Done,WalterLouback,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/20
Issue,Lab_Experimentacao_Software,18,Lab02_Sprint01 - Implementar cronômetro e coleta dos trials,Done,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/18
Issue,Lab_Experimentacao_Software,19,Lab02_Sprint01 - Definir desenho e plano do experimento,Done,analuizazzz,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/19
Issue,Lab_Experimentacao_Software,23,Lab02_Sprint01 - Preparar Katas 03 e 04,Done,analuizazzz,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/23
Issue,Lab_Experimentacao_Software,22,Lab02_Sprint01 - Preparar Katas 01 e 02,Done,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/22
Issue,Lab_Experimentacao_Software,16,Lab01_Sprint03 - Exportar snapshot do Project,Done,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/16
Issue,Lab_Experimentacao_Software,17,Lab01_Sprint03 - Relatório Final Lab01,Done,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/17
Issue,Lab_Experimentacao_Software,13,Lab01S03 - Finalização da RQ07 (extra) e Geração dos Gráficos,Done,analuizazzz,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/13
Issue,Lab_Experimentacao_Software,15,Lab01S03 - Análise (extra) RQ01 e RQ02,Done,WalterLouback,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/15
Issue,Lab_Experimentacao_Software,14,Lab01S03 - Análise (extra) RQ03 e RQ04,Done,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/14
Issue,Lab_Experimentacao_Software,12,Lab01_Sprint02 - Exportar snapshot do Project,Done,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/12
Issue,Lab_Experimentacao_Software,8,Lab01_Sprint02 - Validar RQ01 e RQ02 e elaborar hipóteses,Done,WalterLouback,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/8
Issue,Lab_Experimentacao_Software,7,Lab01_Sprint02 - Coletar 1000 repositórios e exportar dados para CSV,Done,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/7
Issue,Lab_Experimentacao_Software,9,Lab01_Sprint02 - Validar RQ03 e RQ04 e elaborar hipóteses,Done,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/9
Issue,Lab_Experimentacao_Software,10,Lab01_Sprint02 - Validar RQ05 e RQ06 e elaborar hipóteses,Done,analuizazzz,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/10
Issue,Lab_Experimentacao_Software,11,Lab01_Sprint02 - Elaborar primeira versão do relatório,Done,analuizazzz,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/11
Issue,Lab_Experimentacao_Software,1,Lab01_Sprint01 - RQ01 e RQ02: idade e pull requests aceitas,Done,WalterLouback,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/1
Issue,Lab_Experimentacao_Software,6,Lab01_Sprint01 - Extra: correlação RQ05 x RQ06 (linguagem popular x taxa de issues fechadas),Done,analuizazzz,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/6
Issue,Lab_Experimentacao_Software,3,Lab01_Sprint01 - RQ05 e RQ06: linguagem e issues fechadas,Done,analuizazzz,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/3
Issue,Lab_Experimentacao_Software,2,Lab01_Sprint01 - RQ03 e RQ04: releases e última atualização,Done,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/2
